"name","sync0","sync1","sync2","sync3","sync4","sync5","sync6","sync7","sync8","sync9","sync10"
"nlsr_pc",264,291,290,324,348,342,350,378,361,384,401
"nlsr1",798,877,877,972,1050,1032,1059,1140,1085,1152,1212
"nlsr2",798,879,879,972,1050,1030,1053,1140,1083,1153,1212
"nlsr3",532,583,584,648,699,686,700,760,724,768,807
"nlsr4",532,586,586,646,695,684,702,759,721,768,806
"nlsr5",530,586,584,646,696,682,702,760,723,768,808
"nlsr6",798,873,879,974,1045,1026,1053,1140,1086,1152,1207
"nlsr7",532,586,586,648,696,684,702,758,722,770,808
"nlsr8",532,586,586,647,694,684,702,760,724,766,807
"nlsr9",532,582,586,647,696,684,702,760,722,768,804
"nlsr10",529,582,586,648,694,684,701,760,724,768,804
"sum",6377,7011,7023,7772,8363,8218,8426,9115,8675,9217,9676
"ave",579.727272727273,637.363636363636,638.454545454545,706.545454545455,760.272727272727,747.090909090909,766,828.636363636364,788.636363636364,837.909090909091,879.636363636364
"r_sum",6113,6720,6733,7448,8015,7876,8076,8737,8314,8833,9275
"r_ave",611.3,672,673.3,744.8,801.5,787.6,807.6,873.7,831.4,883.3,927.5
"r_sum1-6",3988,4384,4389,4858,5235,5140,5269,5699,5422,5761,6052
"r_ave1-6",664.666666666667,730.666666666667,731.5,809.666666666667,872.5,856.666666666667,878.166666666667,949.833333333333,903.666666666667,960.166666666667,1008.66666666667
"r_sum7-10",2125,2336,2344,2590,2780,2736,2807,3038,2892,3072,3223
"r_ave7-10",531.25,584,586,647.5,695,684,701.75,759.5,723,768,805.75
