"name","all","interest","data","info_interest","info_reply","LSA_interest","LSA_data","sync","arp","other","checksum"
"nlsr_pc","1736","500","500","28","28","224","102","301","52","1","1736"
"nlsr1","4230","1000","1000","84","84","656","322","906","177","1","4230"
"nlsr2","2826","296","296","85","85","646","316","906","194","2","2826"
"nlsr3","1994","265","265","56","56","424","210","601","116","1","1994"
"nlsr4","1529","36","36","56","56","421","201","604","118","1","1529"
"nlsr5","1524","30","30","57","57","422","213","604","110","1","1524"
"nlsr6","2310","56","56","89","89","619","308","904","188","1","2310"
"nlsr7","1492","36","36","57","57","390","201","604","110","1","1492"
"nlsr8","1470","30","30","57","57","387","211","603","94","1","1470"
"nlsr9","1497","28","28","57","57","392","204","602","128","1","1497"
"nlsr10","1492","28","28","57","57","401","202","604","114","1","1492"
"sum","22100","2305","2305","683","683","4982","2490","7239","1401","12","22100"
