"","edge0","edge1","edge2","edge3","edge4","edge5","edge6","edge7","edge8","edge9","edge10"
"center0",9267,9184,9757,9792,10321,10402,10033,10610,10485,10806,10876
"center1",9478,9417,10234,10413,10408,10611,10391,10680,11290,11265,11278
"center2",10314,10228,9977,10447,11185,10601,10663,11628,11597,11329,11712
"center3",10524,10914,10746,11139,11355,11377,11973,11179,11670,11967,11841
"center4",10844,11317,11038,11934,11934,11777,11307,11770,12013,12624,12830
"center5",11205,11691,10824,11696,12316,11544,12100,12617,12389,12407,13046
"center6",11283,11163,12027,11818,12422,12777,11966,12410,13199,12846,13199
"center7",12030,11629,11935,12613,12418,12536,12727,13580,13053,13041,13494
"center8",11894,12307,12368,12200,12689,13133,13115,13186,13585,13660,13385
"center9",12455,12588,12351,12801,13084,12955,13410,13696,13820,13908,14050
"center10",12525,12949,13064,13046,13459,13460,13525,13791,13830,14124,14348
