"name","sync_interest_len0","sync_interest_len1","sync_interest_len2","sync_interest_len3","sync_interest_len4","sync_interest_len5"
"nlsr_pc",103028,192082,164278,150480,117890,182222
"nlsr1",152685,289980,250275,227577,180639,275190
"nlsr2",154542,289980,248418,226941,180639,275190
"nlsr3",101150,193320,165612,151718,120426,183460
"nlsr4",101790,190808,165612,151718,120426,182821
"nlsr5",103028,192082,165612,151718,120426,183460
"nlsr6",101790,192082,165612,151082,119128,181583
"nlsr7",101150,190808,164278,151718,120426,182222
"nlsr8",101790,190808,165612,150480,120426,182222
"nlsr9",101790,192082,164945,150480,120426,182222
"nlsr10",101790,192082,165612,150486,119188,182222
"sum",1224533,2306114,1985866,1814398,1440040,2192814
"ave",111321.181818182,209646.727272727,180533.272727273,164945.272727273,130912.727272727,199346.727272727
"r_sum",1121505,2114032,1821588,1663918,1322150,2010592
"r_ave",112150.5,211403.2,182158.8,166391.8,132215,201059.2
