"name","LSA_data0","LSA_data1","LSA_data2","LSA_data3","LSA_data4","LSA_data5"
"nlsr_pc",0,54,24,24,24,24
"nlsr1",180,399,285,276,253,329
"nlsr2",168,410,300,280,253,331
"nlsr3",170,415,292,279,253,342
"nlsr4",83,205,148,138,123,164
"nlsr5",83,209,144,138,125,165
"nlsr6",84,210,147,134,133,167
"nlsr7",85,211,147,137,128,167
"sum",853,2113,1487,1406,1292,1689
"ave",106.625,264.125,185.875,175.75,161.5,211.125
"r_sum",853,2059,1463,1382,1268,1665
"r_ave",121.857142857143,294.142857142857,209,197.428571428571,181.142857142857,237.857142857143
