"name","sync_data_len0","sync_data_len1","sync_data_len2","sync_data_len3","sync_data_len4","sync_data_len5"
"nlsr_pc",0,45498,18326,18189,18292,18216
"nlsr1",122584,304345,209206,196092,179524,231576
"nlsr2",122584,309693,210682,201359,179524,242224
"nlsr3",122584,315787,215345,201392,179524,240691
"nlsr4",61292,154843,107676,101070,89762,124127
"nlsr5",61292,157152,108363,100304,92075,118071
"nlsr6",61292,161614,108455,98046,93552,121083
"nlsr7",61292,161743,110733,101053,93566,119594
"sum",612920,1610675,1088786,1017505,925819,1215582
"ave",76615,201334.375,136098.25,127188.125,115727.375,151947.75
"r_sum",612920,1565177,1070460,999316,907527,1197366
"r_ave",87560,223596.714285714,152922.857142857,142759.428571429,129646.714285714,171052.285714286
