"name","sync_interest0","sync_interest1","sync_interest2","sync_interest3","sync_interest4","sync_interest5"
"nlsr_pc",80,198,135,128,117,151
"nlsr1",243,600,408,390,354,459
"nlsr2",243,597,408,390,354,459
"nlsr3",243,597,408,390,354,459
"nlsr4",162,397,272,260,236,306
"nlsr5",162,398,272,260,236,306
"nlsr6",160,398,270,256,236,304
"nlsr7",160,398,272,256,236,303
"sum",1453,3583,2445,2330,2123,2747
"ave",181.625,447.875,305.625,291.25,265.375,343.375
"r_sum",1373,3385,2310,2202,2006,2596
"r_ave",196.142857142857,483.571428571429,330,314.571428571429,286.571428571429,370.857142857143
